"empresa","ano","retorno_anual","ceo","chairman","ibrx","ceo_chair"
"CIEL3",2009,NA,0,0,0,0
"CIEL3",2010,-0.06,0,0,1,0
"CIEL3",2011,0.54,0,0,1,0
"CIEL3",2012,0.49,0,0,1,0
"CIEL3",2013,0.44,0,0,1,0
"CIEL3",2014,0.31,0,0,1,0
"CIEL3",2015,-0.01,0,0,1,0
"CIEL3",2016,0,0,0,1,0
"CIEL3",2017,0.06,0,0,1,0
"CIEL3",2018,-0.58,0,0,1,0
"CIEL3",2019,-0.01,0,0,1,0
"COGN3",2009,NA,0,1,0,1
"COGN3",2010,NA,0,1,0,1
"COGN3",2011,NA,0,1,0,1
"COGN3",2012,NA,0,1,0,1
"COGN3",2013,0.73,0,1,1,1
"COGN3",2014,0.64,0,1,1,1
"COGN3",2015,-0.38,0,0,1,0
"COGN3",2016,0.38,0,0,1,0
"COGN3",2017,0.42,0,0,1,0
"COGN3",2018,-0.5,0,1,1,1
"COGN3",2019,0.3,0,1,1,1
"CNFB4",2009,0.67,0,0,1,0
"CNFB4",2010,0.26,0,0,1,0
"CNFB4",2011,-0.3,0,0,1,0
"CNFB4",2012,NA,0,0,0,0
"CNFB4",2013,NA,0,0,0,0
"CNFB4",2014,NA,0,0,0,0
"CNFB4",2015,NA,0,0,0,0
"CNFB4",2016,NA,0,0,0,0
"CNFB4",2017,NA,0,0,0,0
"CNFB4",2018,NA,0,0,0,0
"CNFB4",2019,NA,0,0,0,0
"TEND3",2009,3.74,0,0,1,0
"TEND3",2010,NA,0,0,0,0
"TEND3",2011,NA,0,0,0,0
"TEND3",2012,NA,0,0,0,0
"TEND3",2013,NA,0,0,0,0
"TEND3",2014,NA,0,0,0,0
"TEND3",2015,NA,0,0,0,0
"TEND3",2016,NA,0,0,0,0
"TEND3",2017,NA,0,0,0,0
"TEND3",2018,NA,0,0,0,0
"TEND3",2019,0.93,0,0,1,0
"RLOG3",2009,NA,1,1,0,1
"RLOG3",2010,NA,1,1,0,1
"RLOG3",2011,NA,1,1,0,1
"RLOG3",2012,NA,1,1,0,1
"RLOG3",2013,NA,1,1,0,1
"RLOG3",2014,-0.2,0,1,1,1
"RLOG3",2015,-0.62,0,1,1,1
"RLOG3",2016,NA,0,1,0,1
"RLOG3",2017,NA,0,1,0,1
"RLOG3",2018,NA,0,1,0,1
